q , F , sin2i , Teff , logg , a1c 
0.10 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00066597 
0.10 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000037 
0.10 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001443 
0.10 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00011446 
0.10 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00144804 
0.10 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002394 
0.10 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00019835 
0.10 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00085637 
0.10 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00405284 
1.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00005852 
1.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00044476 
1.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00170245 
1.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00436194 
1.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00005479 
1.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00041134 
1.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00154769 
1.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00347981 
1.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00003331 
1.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00023812 
1.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00083889 
1.00 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00087945 
1.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000071 
1.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00003078 
1.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00025295 
1.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00294035 
1.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00004446 
1.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00037511 
1.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00164839 
1.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00773782 
10.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00005162 
10.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00039002 
10.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00143671 
10.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00331629 
10.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00004848 
10.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00036219 
