q , F , sin2i , Teff , logg , a1c 
0.10 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002892 
0.10 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00020851 
0.10 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00087553 
0.10 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00131450 
0.10 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000064 
0.10 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00002478 
0.10 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00003818 
0.10 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00196608 
0.10 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00003846 
0.10 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00032150 
0.10 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00120887 
0.10 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00614380 
1.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00009359 
1.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00070729 
1.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00278563 
1.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00691850 
1.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00008768 
1.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00065443 
1.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00261821 
1.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00578619 
1.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00005323 
1.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00037768 
1.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00156472 
1.00 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00194415 
1.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000128 
1.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00005364 
1.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00011385 
1.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00391315 
1.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00007144 
1.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00060789 
1.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00229940 
1.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.01147478 
10.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00008253 
10.00 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00062446 
10.00 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00234584 
10.00 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00518665 
10.00 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00007751 
10.00 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00058476 
10.00 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00218379 
10.00 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00393920 
10.00 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00004679 
10.00 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00034561 
10.00 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00123159 
10.00 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00023140 
10.00 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000165 
10.00 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00003432 
10.00 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00030623 
10.00 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00550000 
10.00 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00006414 
10.00 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00052892 
10.00 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00234277 
10.00 , 0.9 , 1.0 , 5778 , 4.4387 , -0.01308278 
0.05 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00003064 
0.05 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00022869 
0.05 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00082791 
0.05 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00182346 
0.05 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00002861 
0.05 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00020696 
0.05 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00070233 
0.05 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00106157 
0.05 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00001728 
0.05 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00011250 
0.05 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00028861 
0.05 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00061849 
0.05 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000052 
0.05 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00003126 
0.05 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00032707 
0.05 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00301415 
0.05 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00002331 
0.05 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00021368 
0.05 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00110742 
0.05 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00607208 
0.10 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00004346 
0.10 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00032457 
0.10 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00116813 
0.10 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00255958 
0.10 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00004070 
0.10 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00029480 
0.10 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00099624 
0.10 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00156831 
0.10 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00002447 
0.10 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00016181 
0.10 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00041807 
0.10 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00067650 
0.10 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000076 
0.10 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00004144 
0.10 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00044454 
0.10 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00387627 
0.10 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00003313 
0.10 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00029988 
0.10 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00153738 
0.10 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00792811 
1.00 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00007970 
1.00 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00058010 
1.00 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00198808 
1.00 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00383056 
1.00 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00007460 
1.00 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00052491 
1.00 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00166553 
1.00 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00210284 
1.00 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00004504 
1.00 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00027977 
1.00 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00060473 
1.00 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00179704 
1.00 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000157 
1.00 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00009779 
1.00 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00099256 
1.00 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00742975 
1.00 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00006165 
1.00 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00058112 
1.00 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00303608 
1.00 , 0.9 , 1.0 , 8550 , 4.1333 , -0.01460364 
10.00 , 0.3 , 0.2 , 8550 , 4.1333 , 0.00007019 
10.00 , 0.5 , 0.2 , 8550 , 4.1333 , 0.00049624 
10.00 , 0.7 , 0.2 , 8550 , 4.1333 , 0.00158105 
10.00 , 0.9 , 0.2 , 8550 , 4.1333 , 0.00228277 
10.00 , 0.3 , 0.4 , 8550 , 4.1333 , 0.00006584 
10.00 , 0.5 , 0.4 , 8550 , 4.1333 , 0.00044464 
10.00 , 0.7 , 0.4 , 8550 , 4.1333 , 0.00125768 
10.00 , 0.9 , 0.4 , 8550 , 4.1333 , 0.00050148 
10.00 , 0.3 , 0.6 , 8550 , 4.1333 , 0.00003949 
10.00 , 0.5 , 0.6 , 8550 , 4.1333 , 0.00022492 
10.00 , 0.7 , 0.6 , 8550 , 4.1333 , 0.00028309 
10.00 , 0.9 , 0.6 , 8550 , 4.1333 , -0.00318455 
10.00 , 0.3 , 0.8 , 8550 , 4.1333 , -0.00000195 
10.00 , 0.5 , 0.8 , 8550 , 4.1333 , -0.00011491 
10.00 , 0.7 , 0.8 , 8550 , 4.1333 , -0.00119277 
10.00 , 0.9 , 0.8 , 8550 , 4.1333 , -0.00858540 
10.00 , 0.3 , 1.0 , 8550 , 4.1333 , -0.00005554 
10.00 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00055346 
10.00 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00310813 
10.00 , 0.9 , 1.0 , 8550 , 4.1333 , -0.01565460 
0.05 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00001485 
0.05 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00011377 
0.05 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00042419 
0.05 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00111070 
0.05 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00001382 
0.05 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00010301 
0.05 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00036215 
0.05 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00075244 
0.05 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00000835 
0.05 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00005776 
0.05 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00016150 
0.05 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00005056 
0.05 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000023 
0.05 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00001069 
0.05 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00013043 
0.05 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00115383 
0.05 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00001127 
0.05 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00009682 
0.05 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00049237 
0.05 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00249839 
0.10 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00002101 
0.10 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00015974 
0.10 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00059482 
0.10 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00152566 
0.10 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00001963 
0.10 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00014517 
0.10 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00051079 
0.10 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00106059 
0.10 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00001184 
0.10 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00007844 
0.10 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00023095 
0.10 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00001676 
0.10 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000048 
0.10 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00001580 
0.10 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00017866 
0.10 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00150632 
0.10 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00001603 
0.10 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00013781 
0.10 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00068799 
0.10 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00332132 
1.00 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00003861 
1.00 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00028863 
1.00 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00101844 
1.00 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00230150 
1.00 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00003615 
1.00 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00026408 
1.00 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00086633 
1.00 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00146927 
1.00 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00002175 
1.00 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00014743 
1.00 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00035557 
1.00 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00045377 
1.00 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000079 
1.00 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00003243 
1.00 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00040521 
1.00 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00316639 
1.00 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00002984 
1.00 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00026200 
1.00 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00136526 
1.00 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00651904 
10.00 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00003398 
