q , F , sin2i , Teff , logg , a1c 
10.00 , 0.5 , 1.0 , 8550 , 4.1333 , -0.00023796 
10.00 , 0.7 , 1.0 , 8550 , 4.1333 , -0.00140184 
10.00 , 0.9 , 1.0 , 8550 , 4.1333 , -0.00920805 
0.05 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00000782 
0.05 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00005925 
0.05 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00020933 
0.05 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00044407 
0.05 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00000724 
0.05 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00005270 
0.05 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00016887 
0.05 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00017623 
0.05 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00000436 
0.05 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00002834 
0.05 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00005688 
0.05 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00031406 
0.05 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000016 
0.05 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00000811 
0.05 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00010171 
0.05 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00095175 
0.05 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00000602 
0.05 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00005373 
0.05 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00029551 
0.05 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00170469 
0.10 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00001103 
0.10 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00008259 
0.10 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00029368 
0.10 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00061852 
0.10 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00001031 
0.10 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00007382 
0.10 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00023886 
0.10 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00027258 
0.10 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00000618 
0.10 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00003679 
0.10 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00008283 
0.10 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00038016 
0.10 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000038 
0.10 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00001230 
0.10 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00013970 
0.10 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00123625 
0.10 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00000856 
0.10 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00007678 
0.10 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00041268 
0.10 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00224908 
1.00 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00002031 
1.00 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00014861 
1.00 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00049022 
1.00 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00080471 
1.00 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00001895 
1.00 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00013380 
1.00 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00038696 
1.00 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00015939 
1.00 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00001130 
1.00 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00007076 
1.00 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00009897 
1.00 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00102779 
1.00 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000062 
1.00 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00002536 
1.00 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00031756 
1.00 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00260652 
1.00 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00001599 
1.00 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00014741 
1.00 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00083581 
1.00 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00449797 
10.00 , 0.3 , 0.2 , 16700 , 4.0722 , 0.00001781 
10.00 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00012657 
10.00 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00037949 
10.00 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00019955 
10.00 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00001661 
10.00 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00011226 
10.00 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00027216 
10.00 , 0.9 , 0.4 , 16700 , 4.0722 , -0.00058498 
10.00 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00000984 
10.00 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00005539 
10.00 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00000188 
10.00 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00184749 
10.00 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000086 
10.00 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00003147 
10.00 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00038798 
10.00 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00350029 
10.00 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00001449 
10.00 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00014250 
10.00 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00087746 
10.00 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00549187 
